Nome da tabela	Apelido da tabela	Nome do campo	Apelido do campo	Tipo do campo	Selecionado	Obrigatório
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	CODI_DAR	Código da despesa	dtInteger	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	ROTR_DAR	Número do documento	dtInteger	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	DATA_DAR	Data do calculo da despesa	dtDate	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	CODI_EMP	Empresa do Romaneio/Tranferência	dtInteger	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	CODI_TRA	Transacionador da despesa	dtInteger	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	CODI_PSV	Produto usado na geração da Nota fiscal	dtString	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	DATP_BDA	Data do pagamento da despesa	dtDate	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	TPAG_BDA	Tipo do pagamento: (P)eso or (V)alor (C)onversao peso	dtString	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	VLOR_BDA	Valor do pagamento	dtDouble	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	PESO_BDA	Peso do pagamento	dtDouble	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	NPRE_NOT	Número da Nota Fiscal emitida	dtInteger	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	DESC_BDA	Desconto na baixa	dtDouble	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	TPBA_BDA	Tipo da baixa: (R) Gerada pelo Romaneio, (M) Manual	dtString	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	COD2_PSV	Serviço para faturamento	dtString	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	DUMANUT	Data da última manutenção p/ integração off-line de lojas	dtDateTime	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	DINSERT	Data da inserção	dtDateTime	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
NFIREQUIS	NOTAS FISCAIS DOS ITENS DA REQUISIÇÃO DE ORDEM DE SERVIÇO	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
